,date,price
0,2021-09-22,209.09191176470588
1,2021-09-23,213.46066761321012
2,2021-09-24,212.29484794597238
3,2021-09-26,215.79508467120962
4,2021-09-27,215.6428107514012
5,2021-09-28,216.37427124555504
6,2021-09-29,217.2582161313858
7,2021-09-30,220.65972222221973
8,2021-10-01,222.94389475629808
9,2021-10-02,227.99641971853774
10,2021-10-03,228.01465213914585
11,2021-10-04,227.677995103918
12,2021-10-05,228.38507979494312
13,2021-10-06,226.3135103926097
14,2021-10-07,232.02496277010434
15,2021-10-08,233.04569979006374
16,2021-10-09,231.98165522615997
17,2021-10-10,232.04657438409163
18,2021-10-11,232.16232215650172
19,2021-10-12,232.38334090954777
20,2021-10-13,234.8014137417719
21,2021-10-14,227.42235410484668
22,2021-10-15,233.1620212627747
23,2021-10-16,238.27548628603188
24,2021-10-17,238.20405649818966
25,2021-10-18,238.19738235852765
26,2021-10-19,235.58993897868316
27,2021-10-20,235.15611885491634
28,2021-10-21,238.32281301202622
29,2021-10-22,237.9669874742583
30,2021-10-23,240.23614997202017
31,2021-10-24,240.3346162689576
32,2021-10-25,240.43070711916187
33,2021-10-26,242.73697726705157
34,2021-10-27,245.18026264504013
35,2021-10-28,245.43079716665252
36,2021-10-29,242.50346533663947
37,2021-10-30,244.79364621425833
38,2021-10-31,244.9380354804221
39,2021-11-01,245.02341351970074
40,2021-11-02,251.2697931547771
41,2021-11-03,252.81543657018403
42,2021-11-04,249.02605913151356
43,2021-11-05,251.39168366428885
44,2021-11-06,249.37818256323808
45,2021-11-07,249.39563100973794
46,2021-11-08,248.95637795629762
47,2021-11-09,244.49874081847005
48,2021-11-10,245.91295996401473
49,2021-11-11,256.5090637997893
50,2021-11-12,258.9878019902914
51,2021-11-13,259.50689067823106
52,2021-11-15,259.7415791841601
53,2021-11-16,258.79463107543427
54,2021-11-18,260.56529985314523
55,2021-11-19,261.3550717213123
56,2021-11-20,265.0239482911885
57,2021-11-21,265.07955994324385
58,2021-11-22,265.28069298517096
59,2021-11-23,275.1533845031424
60,2021-11-24,277.14331014423266
61,2021-11-25,273.7459607161431
62,2021-11-26,273.40867469277424
63,2021-11-27,263.8017290490257
64,2021-11-28,263.76745812847645
65,2021-11-29,264.34554525926575
66,2021-12-08,247.7335969425997
67,2021-12-09,245.7331464884125
68,2021-12-10,246.03261173742584
69,2021-12-11,248.81022830616362
70,2021-12-12,248.81022830616362
71,2021-12-13,248.9345442734354
72,2021-12-15,251.7552792609026
73,2021-12-16,244.11387786519035
74,2021-12-17,244.08563720246602
75,2021-12-18,247.15030472574793
76,2021-12-19,247.1305520589814
77,2021-12-20,247.20019793864196
78,2021-12-21,247.67787737074354
79,2021-12-22,253.32078018155042
80,2021-12-23,257.1242443771693
81,2021-12-24,255.86130592019768
82,2021-12-25,256.44340465506707
83,2021-12-26,256.53057013465883
84,2021-12-27,256.7667582554829
85,2021-12-28,255.60648805181165
86,2021-12-29,247.75780631620717
87,2021-12-30,248.39687365664088
88,2021-12-31,247.12326850426751
